WEO Country Code;ISO;WEO Subject Code;Country;Subject Descriptor;Units;Scale;Country/Series-specific Notes;2008;2009;2010;Estimates Start After
174;GRC;PCPIPCH;Greece;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;4.395;3.100;2.600;2007
174;GRC;LUR;Greece;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, national definition Source: National Statistical Office. Labor Force Survey Latest actual data: 2007 Primary domestic currency:  Euros Data last updated: 10/2008;7.700;8.300;n/a;2007
328;GRD;NGDP_RPCH;Grenada;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;3.709;4.183;4.418;2007
328;GRD;PCPIPCH;Grenada;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;7.811;4.464;3.100;2007
328;GRD;LUR;Grenada;Unemployment rate;Percent of total labor force;;;;;;
258;GTM;NGDP_RPCH;Guatemala;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.500;4.000;4.500;2007
258;GTM;PCPIPCH;Guatemala;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;10.600;7.700;5.900;2007
258;GTM;LUR;Guatemala;Unemployment rate;Percent of total labor force;;;;;;
656;GIN;NGDP_RPCH;Guinea;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.527;4.701;4.995;2007
656;GIN;PCPIPCH;Guinea;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;17.930;9.264;8.345;2007
656;GIN;LUR;Guinea;Unemployment rate;Percent of total labor force;;;;;;
654;GNB;NGDP_RPCH;Guinea-Bissau;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;3.220;3.086;3.320;2006
654;GNB;PCPIPCH;Guinea-Bissau;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;9.558;6.241;2.746;2007
654;GNB;LUR;Guinea-Bissau;Unemployment rate;Percent of total labor force;;;;;;
336;GUY;NGDP_RPCH;Guyana;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.600;4.540;4.300;2007
336;GUY;PCPIPCH;Guyana;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;8.610;6.810;5.880;2007
336;GUY;LUR;Guyana;Unemployment rate;Percent of total labor force;;;;;;
263;HTI;NGDP_RPCH;Haiti;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;2.500;4.000;4.000;2006
263;HTI;PCPIPCH;Haiti;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;14.500;11.500;9.000;2006
263;HTI;LUR;Haiti;Unemployment rate;Percent of total labor force;;;;;;
268;HND;NGDP_RPCH;Honduras;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.200;4.000;4.100;2007
268;HND;PCPIPCH;Honduras;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;11.200;10.300;7.000;2007
268;HND;LUR;Honduras;Unemployment rate;Percent of total labor force;;;;;;
532;HKG;NGDP_RPCH;Hong Kong SAR;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.087;3.471;4.201;2007
532;HKG;PCPIPCH;Hong Kong SAR;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;4.780;4.330;3.830;2007
532;HKG;LUR;Hong Kong SAR;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, national definition Source: CEIC Latest actual data: 2007 Primary domestic currency:  Hong Kong dollars Data last updated: 10/2008;3.495;3.643;n/a;2007
944;HUN;NGDP_RPCH;Hungary;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;1.900;2.300;3.000;2007
944;HUN;PCPIPCH;Hungary;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;6.300;4.100;3.000;2007
944;HUN;LUR;Hungary;Unemployment rate;Percent of total labor force;;;;;;
176;ISL;NGDP_RPCH;Iceland;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;0,210416667;-3.093;0,376388889;2007
176;ISL;PCPIPCH;Iceland;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;12.122;11.210;7.552;2007
176;ISL;LUR;Iceland;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, national definition Source: Directorate of Labour of Iceland. Latest actual data: 2007 Primary domestic currency:  Icelandic krónur Data last updated: 09/2008;2.200;3.900;n/a;2007
534;IND;NGDP_RPCH;India;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;7.925;6.938;7.729;2007
534;IND;PCPIPCH;India;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;7.929;6.715;4.218;2007
534;IND;LUR;India;Unemployment rate;Percent of total labor force;;;;;;
536;IDN;NGDP_RPCH;Indonesia;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;6.077;5.512;6.300;2007
536;IDN;PCPIPCH;Indonesia;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;9.759;8.753;6.976;2007
536;IDN;LUR;Indonesia;Unemployment rate;Percent of total labor force;;;;;;
429;IRN;NGDP_RPCH;Iran, Islamic Republic of;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;5.507;5.032;4.929;2007
429;IRN;PCPIPCH;Iran, Islamic Republic of;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;26.000;22.000;18.000;2007
429;IRN;LUR;Iran, Islamic Republic of;Unemployment rate;Percent of total labor force;;;;;;
178;IRL;NGDP_RPCH;Ireland;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;-1.788;-0.579;2.518;2007
178;IRL;PCPIPCH;Ireland;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;3.500;2.401;1.957;2007
178;IRL;LUR;Ireland;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, harmonized definition ILO (International Labour Organization) Source: National Statistical Office. Central Statistical Office of Ireland (CSO), data is from the Quarterly National Household Survey (QNHS) and is the average of the quarterly observations. Latest actual data: 2007 Primary domestic currency:  Euros Data last updated: 10/2008;5.700;7.000;n/a;2007
436;ISR;NGDP_RPCH;Israel;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.323;2.784;3.392;2007
436;ISR;PCPIPCH;Israel;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;4.820;3.312;2.000;2007
436;ISR;LUR;Israel;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, national definition. Seasonally adjusted. Source: Haver analytics Latest actual data: 2007 Primary domestic currency:  Israeli new sheqalim Data last updated: 10/2008;6.000;6.200;n/a;2007
136;ITA;NGDP_RPCH;Italy;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;-0.060;-0.240;0,236111111;2007
136;ITA;PCPIPCH;Italy;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;3.449;1.879;2.000;2007
136;ITA;LUR;Italy;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, harmonized definition ILO (International Labour Organization) Source: National Statistical Office Latest actual data: 2007 Primary domestic currency:  Euros Data last updated: 10/2008;6.700;6.600;n/a;2007
343;JAM;NGDP_RPCH;Jamaica;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;0,491666667;0,642361111;2.112;2007
343;JAM;PCPIPCH;Jamaica;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;20.159;15.439;9.198;2007
343;JAM;LUR;Jamaica;Unemployment rate;Percent of total labor force;;;;;;
158;JPN;NGDP_RPCH;Japan;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;0,479861111;0,322916667;1.298;2007
158;JPN;PCPIPCH;Japan;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;1.572;0,6125;1.228;2007
158;JPN;LUR;Japan;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, national definition Source: Global Insight and Nomura database. Latest actual data: 2007 Primary domestic currency:  Japanese yen Data last updated: 10/2008;4.054;4.482;n/a;2007
439;JOR;NGDP_RPCH;Jordan;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;5.500;5.250;5.700;2007
439;JOR;PCPIPCH;Jordan;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;15.789;7.586;5.448;2007
439;JOR;LUR;Jordan;Unemployment rate;Percent of total labor force;;;;;;
916;KAZ;NGDP_RPCH;Kazakhstan;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.500;5.300;6.500;2007
916;KAZ;PCPIPCH;Kazakhstan;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;17.596;9.828;6.929;2007
916;KAZ;LUR;Kazakhstan;Unemployment rate;Percent of total labor force;;;;;;
664;KEN;NGDP_RPCH;Kenya;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;3.261;6.432;6.212;2006
664;KEN;PCPIPCH;Kenya;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;25.045;6.500;5.000;2006
664;KEN;LUR;Kenya;Unemployment rate;Percent of total labor force;;;;;;
826;KIR;NGDP_RPCH;Kiribati;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;3.700;2.500;1.100;2005
826;KIR;PCPIPCH;Kiribati;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;1.000;1.500;2.000;2005
826;KIR;LUR;Kiribati;Unemployment rate;Percent of total labor force;;;;;;
542;KOR;NGDP_RPCH;Korea;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.116;3.490;5.177;2007
542;KOR;PCPIPCH;Korea;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;4.800;4.000;3.000;2007
542;KOR;LUR;Korea;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, national definition Source: National Statistical Office Latest actual data: 2007 Primary domestic currency:  Korean won Data last updated: 10/2008;3.100;3.000;n/a;2007
443;KWT;NGDP_RPCH;Kuwait;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;5.891;5.759;5.756;2006
443;KWT;PCPIPCH;Kuwait;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;9.015;7.471;4.994;2007
443;KWT;LUR;Kuwait;Unemployment rate;Percent of total labor force;;;;;;
917;KGZ;NGDP_RPCH;Kyrgyz Republic;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;7.490;6.744;7.487;2007
917;KGZ;PCPIPCH;Kyrgyz Republic;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;24.476;12.222;9.699;2007
917;KGZ;LUR;Kyrgyz Republic;Unemployment rate;Percent of total labor force;;;;;;
544;LAO;NGDP_RPCH;Lao People's Democratic Republic;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;7.542;6.800;7.474;2006
544;LAO;PCPIPCH;Lao People's Democratic Republic;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;8.400;5.400;4.500;2007
544;LAO;LUR;Lao People's Democratic Republic;Unemployment rate;Percent of total labor force;;;;;;
941;LVA;NGDP_RPCH;Latvia;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;-0.875;-2.180;1.138;2007
941;LVA;PCPIPCH;Latvia;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;15.895;10.637;6.721;2007
941;LVA;LUR;Latvia;Unemployment rate;Percent of total labor force;;;;;;
446;LBN;NGDP_RPCH;Lebanon;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;6.000;5.000;4.500;2005
446;LBN;PCPIPCH;Lebanon;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;10.950;6.220;5.785;2007
446;LBN;LUR;Lebanon;Unemployment rate;Percent of total labor force;;;;;;
666;LSO;NGDP_RPCH;Lesotho;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;5.214;5.405;5.515;2006
666;LSO;PCPIPCH;Lesotho;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;11.226;9.548;6.884;2007
666;LSO;LUR;Lesotho;Unemployment rate;Percent of total labor force;;;;;;
668;LBR;NGDP_RPCH;Liberia;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;8.628;14.317;15.400;2007
668;LBR;PCPIPCH;Liberia;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;19.235;11.368;7.991;2007
668;LBR;LUR;Liberia;Unemployment rate;Percent of total labor force;;;;;;
672;LBY;NGDP_RPCH;Libya;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;7.130;8.052;10.453;2007
672;LBY;PCPIPCH;Libya;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;12.000;10.000;8.000;2007
672;LBY;LUR;Libya;Unemployment rate;Percent of total labor force;;;;;;
946;LTU;NGDP_RPCH;Lithuania;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;3.876;0,457638889;2.583;2007
946;LTU;PCPIPCH;Lithuania;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;11.308;6.166;8.522;2007
946;LTU;LUR;Lithuania;Unemployment rate;Percent of total labor force;;;;;;
137;LUX;NGDP_RPCH;Luxembourg;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;2.277;1.780;3.378;2007
137;LUX;PCPIPCH;Luxembourg;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;3.699;1.836;2.000;2007
137;LUX;LUR;Luxembourg;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, harmonized definition ILO (International Labour Organization) Source: National Statistical Office Latest actual data: 2007 Primary domestic currency:  Euros Data last updated: 10/2008;4.365;4.773;n/a;2007
962;MKD;NGDP_RPCH;Macedonia, Former Yugoslav Republic of;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;5.500;5.000;5.000;2007
962;MKD;PCPIPCH;Macedonia, Former Yugoslav Republic of;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;8.495;3.000;3.000;2007
962;MKD;LUR;Macedonia, Former Yugoslav Republic of;Unemployment rate;Percent of total labor force;;;;;;
674;MDG;NGDP_RPCH;Madagascar;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;2.085;7.502;9.765;2006
674;MDG;PCPIPCH;Madagascar;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;9.400;8.800;7.259;2007
674;MDG;LUR;Madagascar;Unemployment rate;Percent of total labor force;;;;;;
676;MWI;NGDP_RPCH;Malawi;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;7.056;7.814;7.024;2007
676;MWI;PCPIPCH;Malawi;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;8.178;7.886;6.988;2007
676;MWI;LUR;Malawi;Unemployment rate;Percent of total labor force;;;;;;
548;MYS;NGDP_RPCH;Malaysia;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;5.750;4.750;6.000;2007
548;MYS;PCPIPCH;Malaysia;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;6.000;4.700;3.000;2007
548;MYS;LUR;Malaysia;Unemployment rate;Percent of total labor force;;;;;;
556;MDV;NGDP_RPCH;Maldives;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;6.500;6.500;6.000;2007
556;MDV;PCPIPCH;Maldives;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;15.000;4.000;3.000;2007
556;MDV;LUR;Maldives;Unemployment rate;Percent of total labor force;;;;;;
678;MLI;NGDP_RPCH;Mali;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.833;5.235;4.399;2007
678;MLI;PCPIPCH;Mali;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;2.500;2.500;2.500;2007
678;MLI;LUR;Mali;Unemployment rate;Percent of total labor force;;;;;;
181;MLT;NGDP_RPCH;Malta;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;2.765;2.295;2.655;2007
181;MLT;PCPIPCH;Malta;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;3.696;2.208;2.353;2007
181;MLT;LUR;Malta;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, harmonized definition ILO (International Labour Organization) Source: Eurostat Latest actual data: 2007 Primary domestic currency:  Euro Data last updated: 09/2008;6.500;7.000;n/a;2007
682;MRT;NGDP_RPCH;Mauritania;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.999;6.811;5.732;2006
682;MRT;PCPIPCH;Mauritania;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;12.471;9.500;6.500;2007
682;MRT;LUR;Mauritania;Unemployment rate;Percent of total labor force;;;;;;
684;MUS;NGDP_RPCH;Mauritius;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;6.586;6.205;5.126;2007
684;MUS;PCPIPCH;Mauritius;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;8.758;8.595;7.000;2007
684;MUS;LUR;Mauritius;Unemployment rate;Percent of total labor force;;;;;;
273;MEX;NGDP_RPCH;Mexico;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;2.051;1.800;3.655;2007
273;MEX;PCPIPCH;Mexico;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;4.906;4.217;3.119;2007
273;MEX;LUR;Mexico;Unemployment rate;Percent of total labor force;;;;;;
921;MDA;NGDP_RPCH;Moldova;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;6.500;6.500;7.000;2007
921;MDA;PCPIPCH;Moldova;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;13.750;9.666;8.101;2007
921;MDA;LUR;Moldova;Unemployment rate;Percent of total labor force;;;;;;
948;MNG;NGDP_RPCH;Mongolia;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;9.007;8.052;7.222;2007
948;MNG;PCPIPCH;Mongolia;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;26.000;18.750;8.000;2007
948;MNG;LUR;Mongolia;Unemployment rate;Percent of total labor force;;;;;;
943;MNE;NGDP_RPCH;Montenegro;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;7.500;5.000;4.800;2006
943;MNE;PCPIPCH;Montenegro;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;9.172;5.244;4.476;2007
943;MNE;LUR;Montenegro;Unemployment rate;Percent of total labor force;;;;;;
686;MAR;NGDP_RPCH;Morocco;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;6.500;5.500;5.774;2007
686;MAR;PCPIPCH;Morocco;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;3.890;3.500;2.800;2007
686;MAR;LUR;Morocco;Unemployment rate;Percent of total labor force;;;;;;
688;MOZ;NGDP_RPCH;Mozambique;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;6.500;6.700;6.600;2007
688;MOZ;PCPIPCH;Mozambique;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;10.106;8.373;5.622;2007
688;MOZ;LUR;Mozambique;Unemployment rate;Percent of total labor force;;;;;;
518;MMR;NGDP_RPCH;Myanmar;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;2.000;6.000;4.000;2006
518;MMR;PCPIPCH;Myanmar;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;34.500;30.000;23.500;2007
518;MMR;LUR;Myanmar;Unemployment rate;Percent of total labor force;;;;;;
728;NAM;NGDP_RPCH;Namibia;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;3.854;4.183;4.493;2006
728;NAM;PCPIPCH;Namibia;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;8.700;8.050;6.450;2007
728;NAM;LUR;Namibia;Unemployment rate;Percent of total labor force;;;;;;
558;NPL;NGDP_RPCH;Nepal;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.702;5.487;5.531;0
558;NPL;PCPIPCH;Nepal;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;7.992;8.535;6.743;2007
558;NPL;LUR;Nepal;Unemployment rate;Percent of total labor force;;;;;;
138;NLD;NGDP_RPCH;Netherlands;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;2.265;1.047;1.618;2007
138;NLD;PCPIPCH;Netherlands;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;2.938;2.590;2.000;2007
138;NLD;LUR;Netherlands;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, harmonized definition OECD (Organisation for Economic Co-operation and Development) Source: National Statistical Office Latest actual data: 2007 Primary domestic currency:  Euros Data last updated: 10/2008;2.811;2.897;n/a;2007
196;NZL;NGDP_RPCH;New Zealand;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;0,452083333;1.475;2.306;2007
196;NZL;PCPIPCH;New Zealand;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;4.236;3.801;2.714;2007
196;NZL;LUR;New Zealand;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, national definition. Data refer to calendar years Source: New Zealand Time Series Latest actual data: 2007 Primary domestic currency:  New Zealand dollars Data last updated: 10/2008;3.957;4.342;n/a;2007
278;NIC;NGDP_RPCH;Nicaragua;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;3.000;3.500;4.000;2007
278;NIC;PCPIPCH;Nicaragua;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;20.500;11.400;8.400;2007
278;NIC;LUR;Nicaragua;Unemployment rate;Percent of total labor force;;;;;;
692;NER;NGDP_RPCH;Niger;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.438;4.520;5.000;2006
692;NER;PCPIPCH;Niger;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;8.300;3.529;2.973;2006
692;NER;LUR;Niger;Unemployment rate;Percent of total labor force;;;;;;
694;NGA;NGDP_RPCH;Nigeria;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;6.211;8.105;7.673;2006
694;NGA;PCPIPCH;Nigeria;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;11.047;11.105;9.140;2007
694;NGA;LUR;Nigeria;Unemployment rate;Percent of total labor force;;;;;;
142;NOR;NGDP_RPCH;Norway;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;2.485;1.210;1.709;2007
142;NOR;PCPIPCH;Norway;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;3.247;2.674;2.500;2007
142;NOR;LUR;Norway;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, national definition Source: National Statistical Office Latest actual data: 2007 Primary domestic currency:  Norwegian kroner Data last updated: 09/2008;2.500;3.000;n/a;2007
449;OMN;NGDP_RPCH;Oman;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;7.448;6.049;5.915;2006
449;OMN;PCPIPCH;Oman;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;11.173;9.000;7.000;2007
449;OMN;LUR;Oman;Unemployment rate;Percent of total labor force;;;;;;
564;PAK;NGDP_RPCH;Pakistan;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;5.800;3.500;5.000;2007
564;PAK;PCPIPCH;Pakistan;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;12.000;23.000;17.500;2007
564;PAK;LUR;Pakistan;Unemployment rate;Percent of total labor force;;;;;;
283;PAN;NGDP_RPCH;Panama;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;8.300;7.800;7.600;2007
283;PAN;PCPIPCH;Panama;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;9.185;5.900;3.900;2007
283;PAN;LUR;Panama;Unemployment rate;Percent of total labor force;;;;;;
853;PNG;NGDP_RPCH;Papua New Guinea;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;5.751;4.690;4.099;2006
853;PNG;PCPIPCH;Papua New Guinea;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;4.990;4.987;4.500;2007
853;PNG;LUR;Papua New Guinea;Unemployment rate;Percent of total labor force;;;;;;
288;PRY;NGDP_RPCH;Paraguay;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;5.500;4.200;5.000;2007
288;PRY;PCPIPCH;Paraguay;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;10.500;5.600;4.000;2007
288;PRY;LUR;Paraguay;Unemployment rate;Percent of total labor force;;;;;;
